15, 19.801737, 1702812510
15, 19.897098, 1702812511
15, 20.121684, 1702812512
21, 20.172539, 1702812512
15, 19.914311, 1702812513
15, 20.066601, 1702812514
37, 20.043341, 1702812514
15, 19.821406, 1702812515
21, 19.972491, 1702812515
15, 19.634582, 1702812516
37, 20.047884, 1702812516
15, 19.549798, 1702812517
15, 19.517786, 1702812518
21, 19.935522, 1702812518
37, 20.249361, 1702812518
15, 19.314951, 1702812519
15, 19.441001, 1702812520
37, 20.473030, 1702812520
15, 19.391458, 1702812521
21, 19.693670, 1702812521
15, 19.223293, 1702812522
37, 20.601691, 1702812522
15, 19.211284, 1702812523
21, 19.834146, 1702812524
15, 19.302017, 1702812524
37, 20.788432, 1702812524
15, 19.146501, 1702812525
